City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2022-04-11 01:13:52,-2.5744,150.7967,84.65,68,100,8.86
68,Hermanus,ZA,2022-04-11 01:10:24,-34.4187,19.2345,61.81,91,11,11.18
69,Hilo,US,2022-04-11 01:13:53,19.7297,-155.09,78.53,79,100,8.05
70,Souillac,MU,2022-04-11 01:13:54,-20.5167,57.5167,77.04,74,91,17.22
71,Zambezi,ZM,2022-04-11 01:13:54,-13.5432,23.1047,60.3,98,96,4.41
72,Nome,US,2022-04-11 01:10:10,64.5011,-165.4064,36.16,86,0,5.75
73,Ylivieska,FI,2022-04-11 01:13:55,64.0833,24.55,30.88,97,100,4.72
74,Palauig,PH,2022-04-11 01:13:56,15.435,119.9045,83.05,67,100,0.74
75,Jodhpur,IN,2022-04-11 01:11:13,26.2867,73.03,78.13,33,97,8.43
76,Cockburn Town,TC,2022-04-11 01:13:56,21.4612,-71.1419,78.1,79,90,20.22
77,Lyuban,BY,2022-04-11 01:13:57,52.7985,28.0048,34.25,78,100,6.96
78,Buala,SB,2022-04-11 01:13:57,-8.145,159.5921,82.58,75,83,4.65
79,Bonavista,CA,2022-04-11 01:13:58,48.6499,-53.1147,31.24,98,100,15.86
80,Port Lincoln,AU,2022-04-11 01:13:41,-34.7333,135.8667,65.28,71,100,14.16
81,Sebu,PH,2022-04-11 01:13:59,6.22,124.6936,76.8,72,78,4.54
82,Saint-Louis,SN,2022-04-11 01:13:59,16.3333,-15.0,73.94,39,8,13.69
83,Lompoc,US,2022-04-11 01:14:00,34.6391,-120.4579,67.12,65,0,16.11
84,Amapa,BR,2022-04-11 01:14:00,1.0,-52.0,71.56,99,100,1.21
85,Nantucket,US,2022-04-11 01:12:12,41.2835,-70.0995,48.34,57,100,10.36
86,Hobart,AU,2022-04-11 01:13:23,-42.8794,147.3294,59.02,57,40,10.36
87,Harper,LR,2022-04-11 01:14:01,4.375,-7.7169,80.33,86,100,6.49
88,Kotli Loharan,PK,2022-04-11 01:14:02,32.5883,74.4932,71.49,60,20,0.0
89,San Alejo,SV,2022-04-11 01:14:02,13.4314,-87.9631,83.26,65,0,2.3
90,Manggar,ID,2022-04-11 01:14:03,-2.8833,108.2667,81.91,77,72,2.86
91,Saint-Philippe,RE,2022-04-11 01:14:03,-21.3585,55.7679,76.59,81,54,14.88
92,Thompson,CA,2022-04-11 01:14:04,55.7435,-97.8558,32.65,84,100,6.02
93,Kodiak,US,2022-04-11 01:09:59,57.79,-152.4072,45.91,31,0,10.36
94,Poum,NC,2022-04-11 01:14:05,-20.2333,164.0167,80.04,78,99,11.52
95,Provideniya,RU,2022-04-11 01:14:06,64.3833,-173.3,27.68,77,86,6.08
96,Kashan,IR,2022-04-11 01:15:06,33.9831,51.4364,64.13,25,21,2.39
97,Severo-Kurilsk,RU,2022-04-11 01:15:07,50.6789,156.125,31.44,79,92,17.34
98,Clyde River,CA,2022-04-11 01:15:07,70.4692,-68.5914,-0.17,92,100,0.0
99,Komsomolskiy,UZ,2022-04-11 01:15:08,40.4272,71.7189,65.71,49,95,3.36
100,Vestmannaeyjar,IS,2022-04-11 01:14:44,63.4427,-20.2734,39.18,78,100,24.36
101,Saint-Augustin,CA,2022-04-11 01:15:08,51.226,-58.6502,35.04,91,100,11.21
102,Bluff,NZ,2022-04-11 01:12:21,-46.6,168.3333,65.8,60,100,21.23
103,Mehamn,NO,2022-04-11 01:15:09,71.0357,27.8492,34.34,95,100,27.02
104,Constitucion,CL,2022-04-11 01:15:09,-35.3333,-72.4167,48.51,86,1,8.95
105,Tuktoyaktuk,CA,2022-04-11 01:10:22,69.4541,-133.0374,1.2,89,58,8.93
106,Dankov,RU,2022-04-11 01:15:10,53.2515,39.1555,46.33,90,100,4.16
107,Ballina,AU,2022-04-11 01:15:10,-28.8667,153.5667,78.98,78,7,7.74
108,Ulaangom,MN,2022-04-11 01:15:11,49.9811,92.0667,32.61,36,100,7.58
109,Kaitangata,NZ,2022-04-11 01:15:12,-46.2817,169.8464,61.72,45,0,5.5
110,Xingyi,CN,2022-04-11 01:15:12,24.1877,102.817,63.75,63,1,3.49
111,Nouakchott,MR,2022-04-11 01:15:13,18.0858,-15.9785,64.33,86,74,14.65
112,Meulaboh,ID,2022-04-11 01:15:13,4.1363,96.1285,77.63,87,100,3.58
113,New Norfolk,AU,2022-04-11 01:14:53,-42.7826,147.0587,58.66,45,83,3.0
114,Bambous Virieux,MU,2022-04-11 01:10:36,-20.3428,57.7575,73.22,72,83,17.36
115,Linkoping,SE,2022-04-11 01:15:14,58.4109,15.6216,35.58,74,8,6.91
116,Narsaq,GL,2022-04-11 01:15:14,60.9167,-46.05,34.02,57,100,2.8
117,Bonthe,SL,2022-04-11 01:15:15,7.5264,-12.505,78.57,91,8,3.11
118,Amuntai,ID,2022-04-11 01:15:16,-2.4177,115.2494,78.89,86,100,1.1
119,Ilulissat,GL,2022-04-11 01:14:29,69.2167,-51.1,19.42,63,100,0.0
120,Nikolskoye,RU,2022-04-11 01:13:30,59.7035,30.7861,36.88,93,2,7.9
121,Bilibino,RU,2022-04-11 01:15:16,68.0546,166.4372,-2.58,85,100,17.31
122,Gamba,GA,2022-04-11 01:15:16,-2.65,10.0,75.2,94,100,1.45
123,Tasiilaq,GL,2022-04-11 01:12:42,65.6145,-37.6368,14.16,90,100,3.83
