,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
240,Sampit,ID,2022-04-11 03:26:51,-2.5333,112.95,83.97,73,97,0.76,overcast clouds,0,0
241,Arkalgud,IN,2022-04-11 03:26:51,12.765,76.0569,78.31,47,99,3.85,overcast clouds,0,0
242,Porto Novo,BJ,2022-04-11 03:26:52,6.4965,2.6036,80.42,81,64,6.53,broken clouds,0,0
243,Shamgarh,IN,2022-04-11 03:26:53,24.1833,75.6333,89.26,22,28,10.45,scattered clouds,0,0
244,Vanimo,PG,2022-04-11 03:26:53,-2.6741,141.3028,86.45,62,11,9.66,few clouds,0,0
245,Marsa Matruh,EG,2022-04-11 03:26:54,31.3525,27.2453,61.03,71,0,10.47,clear sky,0,0
246,Aksarka,RU,2022-04-11 03:26:54,66.5606,67.7975,33.8,100,100,11.27,overcast clouds,0,0
247,Leh,IN,2022-04-11 03:26:55,34.1667,77.5833,35.42,49,55,2.91,broken clouds,0,0
248,Bambous Virieux,MU,2022-04-11 03:26:55,-20.3428,57.7575,77.25,73,40,10.36,scattered clouds,0,0
249,Superior,US,2022-04-11 03:23:06,46.7208,-92.1041,45.57,63,100,13.8,overcast clouds,0,0
250,Ipameri,BR,2022-04-11 03:26:56,-17.7219,-48.1597,72.39,75,78,2.28,broken clouds,0,0
251,Labuhan,ID,2022-04-11 03:26:56,-6.8844,112.2051,84.45,70,88,3.58,overcast clouds,0,0
252,Mongo,TD,2022-04-11 03:26:57,12.1844,18.693,84.25,43,90,6.08,overcast clouds,0,0
253,Tres Lagoas,BR,2022-04-11 03:26:57,-20.7511,-51.6783,76.1,72,50,3.65,scattered clouds,0,0
254,Kotka,FI,2022-04-11 03:26:58,60.4664,26.9458,33.06,88,59,19.35,broken clouds,0,0
255,Maldonado,UY,2022-04-11 03:22:04,-34.6667,-54.9167,69.19,95,100,10.65,overcast clouds,0,0
256,Gotsu,JP,2022-04-11 03:26:59,35.0,132.2167,70.56,47,93,4.61,light rain,0,0
257,Zeya,RU,2022-04-11 03:26:59,53.75,127.2667,36.27,34,100,7.54,overcast clouds,0,0
258,Narsaq,GL,2022-04-11 03:27:00,60.9167,-46.05,30.42,57,98,3.67,overcast clouds,0,0
259,Severo-Kurilsk,RU,2022-04-11 03:27:00,50.6789,156.125,31.71,77,89,17.52,overcast clouds,0,0
260,Victoria,HK,2022-04-11 03:26:42,22.2855,114.1577,83.97,75,39,8.01,scattered clouds,0,0
261,Kampong Chhnang,KH,2022-04-11 03:27:01,12.1667,104.55,89.55,52,97,6.42,overcast clouds,0,0
262,Maneadero,MX,2022-04-11 03:27:02,31.7167,-116.5667,61.11,78,16,5.01,few clouds,0,0
263,New Norfolk,AU,2022-04-11 03:27:03,-42.7826,147.0587,62.65,36,77,4.0,broken clouds,0,0
264,Juegang,CN,2022-04-11 03:27:03,32.3174,121.1855,76.95,55,0,4.5,clear sky,0,0
265,Palmer,US,2022-04-11 03:27:03,42.1584,-72.3287,41.41,71,20,10.36,few clouds,0,0
266,Barabash,RU,2022-04-11 03:27:04,43.2,131.4833,57.58,57,58,6.76,broken clouds,0,0
267,Alyangula,AU,2022-04-11 03:27:04,-13.8483,136.4192,94.87,49,40,11.5,scattered clouds,0,0
268,Slave Lake,CA,2022-04-11 03:27:05,55.2834,-114.769,26.58,59,0,11.5,clear sky,0,0
269,Kavieng,PG,2022-04-11 03:27:05,-2.5744,150.7967,85.14,67,54,8.84,broken clouds,0,0
270,Avarua,CK,2022-04-11 03:27:06,-21.2078,-159.775,80.65,78,20,8.05,few clouds,0,0
271,Ilulissat,GL,2022-04-11 03:27:07,69.2167,-51.1,19.42,68,100,3.44,overcast clouds,0,0
272,Llandrindod Wells,GB,2022-04-11 03:27:07,52.2416,-3.3787,41.94,82,100,8.14,overcast clouds,0,0
273,Buala,SB,2022-04-11 03:27:08,-8.145,159.5921,84.45,70,76,4.79,light rain,0,0
274,Paravur,IN,2022-04-11 03:27:08,8.7833,76.7,82.42,83,74,5.95,broken clouds,0,0
275,Kahului,US,2022-04-11 03:26:32,20.8947,-156.47,84.22,62,40,19.57,scattered clouds,0,0
276,San Ramon,US,2022-04-11 03:26:39,37.7799,-121.978,56.28,63,0,12.66,clear sky,0,0
277,Pangnirtung,CA,2022-04-11 03:27:09,66.1451,-65.7125,19.36,92,100,4.76,overcast clouds,0,0
278,Port Alfred,ZA,2022-04-11 03:27:09,-33.5906,26.891,65.17,88,91,1.99,overcast clouds,0,0
279,Tenenkou,ML,2022-04-11 03:27:10,14.4572,-4.9169,89.22,10,69,8.01,broken clouds,0,0
280,Camacha,PT,2022-04-11 03:27:10,33.0833,-16.3333,58.42,77,75,17.27,broken clouds,0,0
281,Mackenzie,CA,2022-04-11 03:25:06,55.2999,-123.1698,34.02,40,0,3.44,clear sky,0,0
282,Minab,IR,2022-04-11 03:27:11,27.1467,57.0801,78.12,61,0,2.8,clear sky,0,0
283,Chuy,UY,2022-04-11 03:27:11,-33.6971,-53.4616,68.74,89,100,11.74,overcast clouds,0,0
284,Lompoc,US,2022-04-11 03:27:12,34.6391,-120.4579,54.93,73,0,18.41,haze,0,0
285,Anadyr,RU,2022-04-11 03:27:13,64.75,177.4833,21.7,93,100,11.18,light snow,0,0
286,Keti Bandar,PK,2022-04-11 03:24:08,24.1447,67.4497,82.17,68,87,13.35,overcast clouds,0,0
287,Pecos,US,2022-04-11 03:27:13,31.4229,-103.4932,77.86,17,0,8.05,clear sky,0,0
288,Qaqortoq,GL,2022-04-11 03:27:14,60.7167,-46.0333,27.66,66,98,1.21,overcast clouds,0,0
289,De-Kastri,RU,2022-04-11 03:27:14,51.4667,140.7833,31.62,94,100,12.17,snow,0,0
290,Berlevag,NO,2022-04-11 03:27:15,70.8578,29.0864,33.8,100,100,28.14,snow,0,0
291,Ossora,RU,2022-04-11 03:27:15,59.2353,163.0719,28.58,70,96,11.79,overcast clouds,0,0
292,Ahuimanu,US,2022-04-11 03:27:16,21.4447,-157.8378,82.11,72,75,17.27,broken clouds,0,0
293,Panyutyne,UA,2022-04-11 03:27:16,48.9333,36.2833,50.23,77,98,8.28,overcast clouds,0,0
294,Altamira,BR,2022-04-11 03:27:16,-3.2033,-52.2064,72.84,99,100,2.82,overcast clouds,0,0
295,Cidreira,BR,2022-04-11 03:27:17,-30.1811,-50.2056,71.83,88,100,20.49,overcast clouds,0,0
296,Sechura,PE,2022-04-11 03:27:17,-5.5569,-80.8222,71.46,78,100,13.62,overcast clouds,0,0
297,Tayoltita,MX,2022-04-11 03:27:17,24.0833,-105.9333,61.52,70,1,0.76,clear sky,0,0
298,Faanui,PF,2022-04-11 03:27:18,-16.4833,-151.75,81.64,75,9,15.46,clear sky,0,0
299,Dhidhdhoo,MV,2022-04-11 03:27:18,6.8833,73.1,84.31,72,87,10.33,overcast clouds,0,0
300,Semme,FR,2022-04-11 03:27:19,46.1963,1.5007,50.41,58,72,5.32,broken clouds,0,0
301,Minot,US,2022-04-11 03:23:01,48.2325,-101.2963,35.82,51,0,6.91,clear sky,0,0
302,Yumen,CN,2022-04-11 03:27:20,40.2833,97.2,48.43,28,100,7.49,overcast clouds,0,0
303,Talara,PE,2022-04-11 03:27:20,-4.5772,-81.2719,70.45,85,98,11.88,overcast clouds,0,0
304,Dzerzhinsk,RU,2022-04-11 03:27:21,56.2389,43.4631,46.22,93,40,4.47,scattered clouds,0,0
305,Inirida,CO,2022-04-11 03:27:22,3.8653,-67.9239,73.99,95,99,1.9,overcast clouds,0,0
306,Seymchan,RU,2022-04-11 03:27:22,62.8833,152.4333,2.26,61,78,1.7,broken clouds,0,0
307,Omboue,GA,2022-04-11 03:27:22,-1.5746,9.2618,77.11,91,14,4.68,light rain,0,0
308,Ahipara,NZ,2022-04-11 03:27:23,-35.1667,173.1667,69.64,62,100,10.8,overcast clouds,0,0
309,Mayo,US,2022-04-11 03:27:23,38.8876,-76.5119,44.55,71,0,1.01,clear sky,0,0
310,Pundaguitan,PH,2022-04-11 03:27:24,6.3711,126.1689,84.02,69,87,7.2,overcast clouds,0,0
311,Dunda,TZ,2022-04-11 03:27:25,-8.1167,34.25,60.57,97,65,2.55,broken clouds,0,0
312,Calvinia,ZA,2022-04-11 03:27:25,-31.4707,19.776,58.24,70,0,6.22,clear sky,0,0
313,Kindu,CD,2022-04-11 03:27:26,-2.95,25.95,69.21,100,100,2.84,light rain,0,0
314,Rawson,AR,2022-04-11 03:27:26,-43.3002,-65.1023,53.82,66,62,7.16,broken clouds,0,0
315,Dengzhou,CN,2022-04-11 03:27:27,37.8086,120.7508,74.57,46,52,15.37,broken clouds,0,0
316,Savinka,RU,2022-04-11 03:27:27,50.0785,47.0994,49.08,86,13,6.82,few clouds,0,0
317,Malayal,PH,2022-04-11 03:27:28,7.208,121.942,78.6,89,100,15.82,moderate rain,0,0
318,Lavrentiya,RU,2022-04-11 03:27:29,65.5833,-171.0,29.03,79,100,8.08,overcast clouds,0,0
319,Lehrte,DE,2022-04-11 03:27:29,52.3833,9.9667,38.05,87,41,4.68,scattered clouds,0,0
320,Fairview,US,2022-04-11 03:22:35,40.8126,-73.999,44.55,49,100,23.02,overcast clouds,0,0
321,Novaya Ladoga,RU,2022-04-11 03:27:30,60.1025,32.3019,31.5,92,1,9.44,clear sky,0,0
322,Bundaberg,AU,2022-04-11 03:27:30,-24.85,152.35,84.22,65,75,10.36,broken clouds,0,0
323,Palembang,ID,2022-04-11 03:27:31,-2.9167,104.7458,86.09,70,40,4.61,scattered clouds,0,0
324,Yanam,IN,2022-04-11 03:27:31,16.7333,82.2167,88.14,61,99,4.83,overcast clouds,0,0
325,Pascagoula,US,2022-04-11 03:27:32,30.3658,-88.5561,69.85,77,0,6.91,clear sky,0,0
326,Ust-Nera,RU,2022-04-11 03:27:33,64.5667,143.2,8.1,77,17,5.14,few clouds,0,0
327,Pronsk,RU,2022-04-11 03:27:33,54.1048,39.6092,43.0,99,99,6.71,overcast clouds,0,0
328,Phan Thiet,VN,2022-04-11 03:27:34,10.9333,108.1,86.43,56,43,5.53,scattered clouds,0,0
329,Pyshchug,RU,2022-04-11 03:27:34,58.8873,45.7134,38.37,99,100,7.38,overcast clouds,0,0
330,Majene,ID,2022-04-11 03:27:35,-3.5403,118.9707,84.16,65,63,7.31,broken clouds,0,0
331,Bexhill,AU,2022-04-11 03:27:35,-28.7667,153.35,80.64,69,4,3.0,clear sky,0,0
332,Kamaishi,JP,2022-04-11 03:27:36,39.2667,141.8833,66.18,43,53,9.82,broken clouds,0,0
333,Coihaique,CL,2022-04-11 03:25:08,-45.5752,-72.0662,48.81,81,100,2.3,overcast clouds,0,0
334,Fairbanks,US,2022-04-11 03:25:33,64.8378,-147.7164,28.74,68,40,4.61,scattered clouds,0,0
335,Gap,FR,2022-04-11 03:23:00,44.6667,6.0,24.84,70,97,5.12,overcast clouds,0,0
336,Tatarsk,RU,2022-04-11 03:27:36,55.219,75.9828,35.31,63,13,8.97,few clouds,0,0
337,Prado,BR,2022-04-11 03:27:37,-17.3411,-39.2208,76.68,86,14,4.81,few clouds,0,0
338,Wanaka,NZ,2022-04-11 03:27:37,-44.7,169.15,61.11,45,63,5.01,light rain,0,0
339,Mandalgovi,MN,2022-04-11 03:27:38,45.7625,106.2708,29.21,61,75,8.46,broken clouds,0,0
340,Bubaque,GW,2022-04-11 03:27:38,11.2833,-15.8333,75.67,69,6,10.74,clear sky,0,0
341,Antofagasta,CL,2022-04-11 03:27:39,-23.65,-70.4,60.08,84,45,6.6,scattered clouds,0,0
342,Halvad,IN,2022-04-11 03:27:39,23.0167,71.1833,83.52,51,31,11.05,scattered clouds,0,0
343,Petrivka,UA,2022-04-11 03:27:40,46.9695,30.9591,41.81,81,100,18.32,overcast clouds,0,0
344,Biak,ID,2022-04-11 03:27:40,-0.9131,122.8766,83.79,65,67,7.58,broken clouds,0,0
345,Magistralnyy,RU,2022-04-11 03:27:41,56.1725,107.4458,35.28,61,99,4.27,overcast clouds,0,0
346,Hami,CN,2022-04-11 03:27:42,42.8,93.45,59.07,16,91,6.13,overcast clouds,0,0
347,Giyani,ZA,2022-04-11 03:27:42,-23.3025,30.7187,66.22,86,99,7.54,overcast clouds,0,0
348,Tsaratanana,MG,2022-04-11 03:27:42,-16.7833,47.65,69.04,82,9,12.03,clear sky,0,0
349,Cockburn Town,TC,2022-04-11 03:25:58,21.4612,-71.1419,77.58,80,90,22.44,overcast clouds,0,0
350,Vila Velha,BR,2022-04-11 03:27:43,-20.3297,-40.2925,78.75,84,20,9.22,few clouds,0,0
351,Puerto Colombia,CO,2022-04-11 03:27:43,10.9878,-74.9547,80.69,83,100,27.63,overcast clouds,0,0
352,Pasighat,IN,2022-04-11 03:25:18,28.0667,95.3333,68.34,95,100,1.74,overcast clouds,0,0
353,Deputatskiy,RU,2022-04-11 03:27:44,69.3,139.9,6.3,84,99,3.74,overcast clouds,0,0
354,Freeport,US,2022-04-11 03:23:07,40.6576,-73.5832,45.25,53,0,23.02,clear sky,0,0
355,Tabriz,IR,2022-04-11 03:25:04,38.08,46.2919,44.06,76,75,6.91,broken clouds,0,0
356,Rio Grande,BR,2022-04-11 03:27:45,-32.035,-52.0986,71.94,89,100,17.11,overcast clouds,0,0
357,Flinders,AU,2022-04-11 03:27:45,-34.5833,150.8552,79.88,56,2,9.66,clear sky,0,0
358,Nouakchott,MR,2022-04-11 03:27:46,18.0858,-15.9785,64.33,88,59,16.78,broken clouds,0,0
359,Bairiki,KI,2022-04-11 03:27:46,1.3292,172.9752,86.0,74,20,8.05,few clouds,0,0
360,Hailar,CN,2022-04-11 03:27:46,49.2,119.7,37.76,37,100,8.05,overcast clouds,0,0
361,Norsup,VU,2022-04-11 03:27:48,-16.0667,167.3833,85.17,70,15,6.35,few clouds,0,0
362,Arkhangelsk,RU,2022-04-11 03:27:48,64.5401,40.5433,32.11,92,0,8.95,clear sky,0,0
363,San Jose,US,2022-04-11 03:25:15,37.3394,-121.895,56.08,60,40,14.97,scattered clouds,0,0
364,Ouegoa,NC,2022-04-11 03:27:49,-20.35,164.4333,80.33,76,95,6.6,overcast clouds,0,0
365,Tuatapere,NZ,2022-04-11 03:27:49,-46.1333,167.6833,62.22,62,100,11.39,overcast clouds,0,0
366,Santa Maria,BR,2022-04-11 03:24:01,-29.6842,-53.8069,67.3,94,75,1.14,broken clouds,0,0
367,Mae Tha,TH,2022-04-11 03:27:50,18.4646,99.1403,89.19,35,48,2.01,scattered clouds,0,0
368,Caravelas,BR,2022-04-11 03:27:50,-17.7125,-39.2481,76.17,88,9,3.76,clear sky,0,0
369,Bethanien,NA,2022-04-11 03:27:51,-26.502,17.1583,60.24,68,0,6.49,clear sky,0,0
370,Vostok,RU,2022-04-11 03:27:51,46.4856,135.8833,52.79,71,100,3.47,light rain,0,0
371,Limni,GR,2022-04-11 03:27:52,38.7667,23.3167,46.63,60,57,13.65,broken clouds,0,0
372,Mosquera,CO,2022-04-11 03:27:53,4.7059,-74.2302,53.69,94,75,0.0,broken clouds,0,0
373,Nizwa,OM,2022-04-11 03:27:53,22.9333,57.5333,84.69,12,0,2.68,clear sky,0,0
374,Vozhega,RU,2022-04-11 03:27:54,60.4725,40.2213,31.1,96,100,4.52,overcast clouds,0,0
375,Bathsheba,BB,2022-04-11 03:27:54,13.2167,-59.5167,79.41,73,40,17.27,scattered clouds,0,0
376,Kavaratti,IN,2022-04-11 03:27:55,10.5669,72.642,83.48,75,99,8.39,overcast clouds,0,0
377,Viamao,BR,2022-04-11 03:27:55,-30.0811,-51.0233,73.67,92,0,8.05,clear sky,0,0
378,Lensk,RU,2022-04-11 03:27:56,60.7253,114.9278,31.66,83,99,2.95,overcast clouds,0,0
379,Colares,PT,2022-04-11 03:27:56,38.7992,-9.4469,59.32,80,96,15.99,overcast clouds,0,0
380,Balancan,MX,2022-04-11 03:27:57,17.8,-91.5333,76.51,67,3,12.41,clear sky,0,0
381,Dali,CN,2022-04-11 03:27:57,25.7,100.1833,68.04,45,8,5.7,clear sky,0,0
382,Obidos,BR,2022-04-11 03:27:58,-1.9175,-55.5181,73.98,96,100,3.33,overcast clouds,0,0
383,Pacific Grove,US,2022-04-11 03:27:58,36.6177,-121.9166,54.43,78,40,8.99,scattered clouds,0,0
384,Tobermory,CA,2022-04-11 03:27:59,45.2501,-81.6665,34.23,79,99,11.72,overcast clouds,0,0
385,San Patricio,US,2022-04-11 03:28:00,28.017,-97.5169,74.16,81,100,22.59,overcast clouds,0,0
386,Waldoboro,US,2022-04-11 03:28:00,44.0954,-69.3756,44.15,71,21,11.88,few clouds,0,0
387,Petrokhorion,GR,2022-04-11 03:28:01,41.1167,24.8333,49.93,80,100,2.13,overcast clouds,0,0
388,Vangaindrano,MG,2022-04-11 03:28:01,-23.35,47.6,72.39,90,77,6.51,moderate rain,0,0
389,Chimoio,MZ,2022-04-11 03:28:02,-19.1164,33.4833,62.04,98,99,3.78,overcast clouds,0,0
390,Ganzhou,CN,2022-04-11 03:28:03,28.8184,115.4327,83.64,44,0,6.2,clear sky,0,0
391,Lorengau,PG,2022-04-11 03:28:03,-2.0226,147.2712,84.76,74,72,10.04,broken clouds,0,0
392,Yar-Sale,RU,2022-04-11 03:28:04,66.8333,70.8333,33.8,100,100,11.14,overcast clouds,0,0
393,Alihe,CN,2022-04-11 03:28:05,50.5667,123.7167,38.43,53,98,8.34,overcast clouds,0,0
394,Baruun-Urt,MN,2022-04-11 03:28:05,46.6806,113.2792,37.36,33,100,16.4,overcast clouds,0,0
395,Mayya,RU,2022-04-11 03:28:05,61.7333,130.2811,25.92,66,11,6.35,few clouds,0,0
396,Las Vegas,US,2022-04-11 03:28:06,36.175,-115.1372,70.48,13,0,5.75,clear sky,0,0
397,Cap-Aux-Meules,CA,2022-04-11 03:28:07,47.3821,-61.8597,32.02,100,100,18.41,overcast clouds,0,0
398,Sarkand,KZ,2022-04-11 03:28:07,45.41,79.9186,55.67,45,100,4.76,overcast clouds,0,0
399,Beihai,CN,2022-04-11 03:28:08,21.4833,109.1,75.83,75,1,6.35,clear sky,0,0
400,Shunyi,CN,2022-04-11 03:28:09,40.125,116.6453,75.15,57,100,2.24,haze,0,0
401,Kenai,US,2022-04-11 03:28:09,60.5544,-151.2583,42.89,52,0,8.05,clear sky,0,0
402,Yulara,AU,2022-04-11 03:28:10,-25.2406,130.9889,93.04,12,1,9.22,clear sky,0,0
403,Otane,NZ,2022-04-11 03:28:11,-39.8833,176.6333,63.01,54,1,2.33,clear sky,0,0
404,La Joya,MX,2022-04-11 03:28:11,18.6667,-99.4667,82.38,40,98,5.46,overcast clouds,0,0
405,Ati,TD,2022-04-11 03:28:12,13.2154,18.3353,82.13,38,58,7.9,broken clouds,0,0
406,Chapadinha,BR,2022-04-11 03:28:12,-3.7417,-43.3603,71.56,99,100,2.24,light rain,0,0
407,Pitimbu,BR,2022-04-11 03:28:13,-7.4706,-34.8086,77.59,74,14,9.57,few clouds,0,0
408,Lakatoro,VU,2022-04-11 03:28:13,-16.0999,167.4164,85.24,70,14,6.22,few clouds,0,0
409,Haines Junction,CA,2022-04-11 03:28:14,60.7522,-137.5108,30.15,40,97,9.22,overcast clouds,0,0
410,Mangrol,IN,2022-04-11 03:28:14,21.1167,70.1167,82.9,66,47,6.29,scattered clouds,0,0
411,Prince Rupert,CA,2022-04-11 03:28:15,54.3161,-130.3201,44.69,70,0,9.22,clear sky,0,0
412,Cervo,ES,2022-04-11 03:28:15,43.6702,-7.4101,52.34,79,9,8.21,clear sky,0,0
413,Nizhniy Kuranakh,RU,2022-04-11 03:28:16,58.8353,125.4869,28.2,75,100,5.82,light snow,0,0
414,Quzhou,CN,2022-04-11 03:28:17,28.9594,118.8686,81.9,48,1,1.28,clear sky,0,0
415,Sahbuz,AZ,2022-04-11 03:28:17,39.4072,45.5739,40.6,52,1,1.25,clear sky,0,0
416,Siocon,PH,2022-04-11 03:28:17,7.7061,122.1353,79.56,89,100,8.77,light rain,0,0
417,Qinzhou,CN,2022-04-11 03:28:18,21.95,108.6167,80.42,56,2,7.27,clear sky,0,0
418,Brooks,CA,2022-04-11 03:25:16,50.5834,-111.8851,31.98,33,100,9.22,overcast clouds,0,0
419,Ivanivka,UA,2022-04-11 03:28:19,46.7208,34.553,49.86,83,74,4.43,broken clouds,0,0
420,Spirit River,CA,2022-04-11 03:28:19,55.7833,-118.8361,30.63,53,60,12.3,broken clouds,0,0
421,Neyshabur,IR,2022-04-11 03:28:20,36.2133,58.7958,57.92,57,0,3.11,clear sky,0,0
422,Matara,LK,2022-04-11 03:28:21,5.9485,80.5353,84.22,73,100,8.16,overcast clouds,0,0
423,Kondinskoye,RU,2022-04-11 03:28:21,59.6481,67.41,32.56,86,100,8.23,overcast clouds,0,0
424,Houma,US,2022-04-11 03:28:22,29.5958,-90.7195,69.8,84,0,10.36,clear sky,0,0
425,Gander,CA,2022-04-11 03:23:44,48.9682,-54.5906,28.53,100,100,15.01,overcast clouds,0,0
426,Naze,JP,2022-04-11 03:28:22,28.3667,129.4833,72.52,83,65,11.34,broken clouds,0,0
427,Firminopolis,BR,2022-04-11 03:28:23,-16.5819,-50.305,70.14,84,53,2.17,broken clouds,0,0
428,Asau,RO,2022-04-11 03:28:23,46.4333,26.4,38.32,80,100,6.93,overcast clouds,0,0
429,Klaksvik,FO,2022-04-11 03:28:24,62.2266,-6.589,31.12,67,100,11.23,overcast clouds,0,0
430,Sioux Lookout,CA,2022-04-11 03:28:24,50.1001,-91.917,37.47,81,100,3.44,overcast clouds,0,0
431,Muros,ES,2022-04-11 03:28:25,42.7762,-9.0603,54.84,90,97,20.15,overcast clouds,0,0
432,Dimona,IL,2022-04-11 03:28:25,31.0667,35.0333,57.58,54,3,3.69,clear sky,0,0
433,Cap Malheureux,MU,2022-04-11 03:28:26,-19.9842,57.6142,75.47,81,25,1.01,scattered clouds,0,0
434,Tuapse,RU,2022-04-11 03:28:26,44.1125,39.0742,53.8,67,8,5.44,clear sky,0,0
435,Atar,MR,2022-04-11 03:28:27,20.5169,-13.0499,75.02,8,20,3.42,few clouds,0,0
436,Mianwali,PK,2022-04-11 03:28:27,32.5741,71.5264,89.06,15,100,3.42,overcast clouds,0,0
437,Conceicao Do Araguaia,BR,2022-04-11 03:28:28,-8.2578,-49.2647,73.29,97,93,4.47,overcast clouds,0,0
438,Imbituba,BR,2022-04-11 03:26:02,-28.24,-48.6703,75.81,93,96,8.75,overcast clouds,0,0
439,Sawakin,SD,2022-04-11 03:28:29,19.1059,37.3321,77.41,77,0,5.23,clear sky,0,0
440,Raga,SS,2022-04-11 03:28:29,8.4596,25.678,74.39,75,100,5.39,overcast clouds,0,0
441,Kruisfontein,ZA,2022-04-11 03:28:30,-34.0033,24.7314,59.88,91,78,4.29,broken clouds,0,0
442,Sao Filipe,CV,2022-04-11 03:28:30,14.8961,-24.4956,70.95,78,79,11.74,broken clouds,0,0
443,Sistranda,NO,2022-04-11 03:28:31,63.7256,8.834,37.36,79,100,34.96,overcast clouds,0,0
444,Porto Velho,BR,2022-04-11 03:28:33,-8.7619,-63.9039,75.25,94,0,0.0,clear sky,0,0
445,Okha,RU,2022-04-11 03:28:33,53.5739,142.9478,30.72,78,100,16.46,overcast clouds,0,0
446,Biankouma,CI,2022-04-11 03:28:33,7.7391,-7.6138,70.32,95,92,2.93,overcast clouds,0,0
447,Viedma,AR,2022-04-11 03:28:34,-40.8135,-62.9967,55.62,56,13,6.73,few clouds,0,0
448,La Asuncion,VE,2022-04-11 03:25:20,11.0333,-63.8628,78.53,89,93,16.11,overcast clouds,0,0
449,Roebourne,AU,2022-04-11 03:28:35,-20.7833,117.1333,92.23,24,0,3.98,clear sky,0,0
450,Kungurtug,RU,2022-04-11 03:28:36,50.5994,97.5228,25.59,56,100,1.39,overcast clouds,0,0
451,Morehead,US,2022-04-11 03:28:36,37.2711,-87.1764,65.95,53,0,9.22,clear sky,0,0
452,Padang,ID,2022-04-11 03:28:37,-0.9492,100.3543,84.25,65,43,3.74,scattered clouds,0,0
453,San Cristobal,VE,2022-04-11 03:28:37,7.7669,-72.225,73.58,63,67,1.25,broken clouds,0,0
454,Bar Harbor,US,2022-04-11 03:28:37,44.3876,-68.2039,44.28,73,20,11.99,few clouds,0,0
455,Bonavista,CA,2022-04-11 03:28:38,48.6499,-53.1147,31.42,98,100,17.07,snow,0,0
456,Port Hedland,AU,2022-04-11 03:28:38,-20.3167,118.5667,98.65,20,0,3.44,clear sky,0,0
457,Samus,RU,2022-04-11 03:28:39,56.7475,84.6992,26.96,72,48,3.56,scattered clouds,0,0
458,Mustvee,EE,2022-04-11 03:28:39,58.8486,26.9397,31.66,94,9,9.53,clear sky,0,0
459,Petropavlovsk-Kamchatskiy,RU,2022-04-11 03:28:40,53.0452,158.6483,37.99,48,75,15.66,broken clouds,0,0
460,Koutsouras,GR,2022-04-11 03:28:41,35.0339,25.9469,59.11,40,1,6.55,clear sky,0,0
461,Sorland,NO,2022-04-11 03:28:41,67.667,12.6934,38.57,62,8,10.92,clear sky,0,0
462,Bandarbeyla,SO,2022-04-11 03:28:41,9.4942,50.8122,78.26,82,5,2.95,clear sky,0,0
463,Porciuncula,BR,2022-04-11 03:28:42,-20.9628,-42.0408,69.53,97,18,2.71,few clouds,0,0
464,Panzhihua,CN,2022-04-11 03:28:43,26.5851,101.7128,78.15,44,10,2.04,clear sky,0,0
465,Alice Town,BS,2022-04-11 03:28:43,25.7167,-79.3,71.17,61,1,14.88,clear sky,0,0
466,Inhambane,MZ,2022-04-11 03:28:44,-23.865,35.3833,76.26,86,100,11.97,light rain,0,0
467,Purranque,CL,2022-04-11 03:23:54,-40.9167,-73.1667,42.28,98,8,0.87,clear sky,0,0
468,Praia Da Vitoria,PT,2022-04-11 03:24:13,38.7333,-27.0667,57.45,67,75,26.11,broken clouds,0,0
469,Aksu,CN,2022-04-11 03:28:45,41.1231,80.2644,65.88,29,7,9.93,clear sky,0,0
470,Kualakapuas,ID,2022-04-11 03:28:45,-3.0091,114.3876,89.42,59,95,2.33,overcast clouds,0,0
471,Livingstone,ZM,2022-04-11 03:28:45,-17.8419,25.8543,61.75,96,99,3.71,overcast clouds,0,0
472,Lebyazhye,RU,2022-04-11 03:28:46,55.2689,66.4947,40.33,64,100,13.67,overcast clouds,0,0
473,Alibag,IN,2022-04-11 03:28:46,18.6411,72.8792,84.27,69,100,2.19,overcast clouds,0,0
474,Lakhdenpokhya,RU,2022-04-11 03:28:47,61.5198,30.1992,32.29,87,98,13.47,overcast clouds,0,0
475,Korla,CN,2022-04-11 03:28:47,41.7597,86.1469,59.59,33,27,11.54,scattered clouds,0,0
476,Kudal,IN,2022-04-11 03:28:48,16.0333,73.6833,82.54,69,91,3.24,overcast clouds,0,0
477,Svetlyy,RU,2022-04-11 03:28:48,54.675,20.1347,35.65,87,5,10.69,clear sky,0,0
478,Urumqi,CN,2022-04-11 03:28:49,43.801,87.6005,59.95,34,0,4.47,clear sky,0,0
479,Ust-Charyshskaya Pristan,RU,2022-04-11 03:28:50,52.3934,83.6635,35.42,56,6,9.44,clear sky,0,0
480,Hasaki,JP,2022-04-11 03:28:50,35.7333,140.8333,73.8,76,99,16.22,overcast clouds,0,0
481,Axim,GH,2022-04-11 03:28:51,4.8699,-2.2405,79.9,87,66,4.16,broken clouds,0,0
482,Khatra,IN,2022-04-11 03:28:52,22.9833,86.85,93.33,27,1,7.99,clear sky,0,0
483,Nicoya,CR,2022-04-11 03:28:52,10.1483,-85.452,79.29,68,47,9.84,scattered clouds,0,0
484,Winsum,NL,2022-04-11 03:28:53,53.33,6.5208,36.99,86,98,4.7,overcast clouds,0,0
